                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "13.1.0"                  "aarch64-macos-23.10.1"                                 "CRMATH"                               "20260702"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      701                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.3057386263918106E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.3057386263918106E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836720622541E+000                  1.1866327435314425E-005                 -4.9256836720622541E+000                 -9.8999999999999986E+001                 -2.0293948446095037E+001                 -4.9256836720622541E+000                  1.1866327435314425E-005                 -4.9256836721722763E+000                 -1.4521986245691505E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6500080430184538E+000                  8.7163279875050625E-002                  2.6621871476511372E-001                  3.9056301977729055E+000                  0.0000000000000000E+000                  1.4891917201073699E+001                  1.4483780566008028E-001                  6.6225825275406676E+000                  6.2123283091552461E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        4 
                                       5                                      698                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8388968444225853E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8388968444225853E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836761069511E+000                  1.1866327324800239E-005                 -4.9256836761069511E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836761069511E+000                  1.1866327324800239E-005                 -4.9256836762169733E+000                 -1.4521986341573092E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6483774980730472E+000                  8.0635718056249597E-002                  2.6621602374652747E-001                  3.9056355798100779E+000                  0.0000000000000000E+000                  1.4891917202892483E+001                  1.4483780675556238E-001                  6.6225825282588735E+000                  6.2123283091508563E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861279E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      10                                      698                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8388971087904185E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8388971087904185E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836876859138E+000                  1.1866327008425609E-005                 -4.9256836876859138E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836876859138E+000                  1.1866327008425609E-005                 -4.9256836877959360E+000                 -1.4521986597963897E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6482650764456892E+000                  8.0184754331042704E-002                  2.6621538513864090E-001                  3.9056368570258515E+000                  0.0000000000000000E+000                  1.4891917207906030E+001                  1.4483780977565303E-001                  6.6225825302382937E+000                  6.2123283091387582E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861279E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      15                                      698                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8388989963696392E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8388989963696392E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837052640883E+000                  1.1866326528133147E-005                 -4.9256837052640883E+000                 -9.8999999999999986E+001                 -2.0072099696478681E+001                 -4.9256837052640883E+000                  1.1866326528133147E-005                 -4.9256837053741114E+000                 -1.4521986931410208E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6482267856775441E+000                  8.0031016887535500E-002                  2.6621509795317605E-001                  3.9056374313967810E+000                  0.0000000000000000E+000                  1.4891917215232086E+001                  1.4483781419775654E-001                  6.6225825331218697E+000                  6.2123283091211412E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861275E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      20                                      698                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8389068305463299E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8389068305463299E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837315206710E+000                  1.1866325810718610E-005                 -4.9256837315206710E+000                 -9.8999999999999986E+001                 -2.0169009709486737E+001                 -4.9256837315206710E+000                  1.1866325810718610E-005                 -4.9256837316306932E+000                 -1.4521987320957104E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6482162194296075E+000                  7.9988517745176874E-002                  2.6621498087787054E-001                  3.9056376655473919E+000                  0.0000000000000000E+000                  1.4891917225731344E+001                  1.4483782055823649E-001                  6.6225825372317937E+000                  6.2123283090960502E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861275E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      25                                      698                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8389389533658877E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8389389533658877E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837690662030E+000                  1.1866324784853647E-005                 -4.9256837690662030E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256837690662030E+000                  1.1866324784853647E-005                 -4.9256837691762252E+000                 -1.4521987701864976E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6482137987441421E+000                  7.9978745928466266E-002                  2.6621493634044507E-001                  3.9056377546222429E+000                  0.0000000000000000E+000                  1.4891917240414665E+001                  1.4483782951254362E-001                  6.6225825429213474E+000                  6.2123283090613646E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861275E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      30                                      698                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8390729476696722E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8390729476696722E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838167429962E+000                  1.1866323482170086E-005                 -4.9256838167429962E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256838167429962E+000                  1.1866323482170086E-005                 -4.9256838168530175E+000                 -1.4521987971116056E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6482133090004747E+000                  7.9976752144871349E-002                  2.6621491893598370E-001                  3.9056377894311658E+000                  0.0000000000000000E+000                  1.4891917260175751E+001                  1.4483784171761938E-001                  6.6225825504265954E+000                  6.2123283090157388E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861275E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      35                                      698                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8396513388575665E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8396513388575665E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838624359656E+000                  1.1866322233691098E-005                 -4.9256838624359656E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256838624359656E+000                  1.1866322233691098E-005                 -4.9256838625459878E+000                 -1.4521988051148684E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6482132030730563E+000                  7.9976312524298709E-002                  2.6621491098053363E-001                  3.9056378053420659E+000                  0.0000000000000000E+000                  1.4891917285897867E+001                  1.4483785800294380E-001                  6.6225825598033321E+000                  6.2123283089590753E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4468833607861275E-003                  9.3805276451495410E-003                  3.4468833607861275E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      40                                      698                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8422651456329497E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999976400000E-001                  3.8422651456329497E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838778259038E+000                  1.1866321813188500E-005                 -4.9256838778259038E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -4.9256838778259038E+000                  1.1866321813188500E-005                 -4.9256838779359260E+000                 -1.4521987928200637E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6482131762712409E+000                  7.9976195874836939E-002                  2.6621490625943323E-001                  3.9056378147842667E+000                  0.0000000000000000E+000                  1.4891917319712125E+001                  1.4483788039249149E-001                  6.6225825711639539E+000                  6.2123283088912939E-001                  8.5000496627254196E-001                  1.2966429887659310E+000                  6.9999999999999984E-001                  2.7997020236474879E-001                  3.4468833607861258E-003                  9.3805276451495393E-003                  3.4468833607861275E-003                  9.3805276451495393E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
